clause_id,clause_type,clause_text,risk_score,severity,rule_hits
11.1,Payment,All forms of compensation referred to in this Agreement are subject to reduction to reflect applicable withholding and payroll taxes and other deductions required by law.,,,
12.1,Other,"This Agreement is intended to comply with the requirements of Section 409A of the Code (""Section 409A""), and the Parties hereby agree to amend this Agreement as and when necessary or desirable to conform to or otherwise properly reflect any guidance issued under Section 409A after the date hereof without violating Section 409A.",,,
14.1,Governing Law,"This Agreement shall be governed by, and construed and enforced in accordance with, the laws of the State of California. Other than a claimed violation by you of Paragraph 8 of this Agreement or the NDA (the ""Injunctive Relief Exception""), any dispute or controversy arising out of or relating to this Agreement and/or related to your employment with the Company that could otherwise be resolved by a court shall be resolved through arbitration administered by the American Arbitration Association before a single neutral arbitrator in accordance with the Employment Arbitration Rules and Mediation Procedures, except as modified by this Agreement.",,,
15.1,Assignment,"You agree that notwithstanding anything in this Agreement to the contrary, your obligations under this Agreement, specifically, but without limitation, Paragraph 8 of this Agreement, shall survive any termination of this Agreement and/or the relationship between you and the Company to the extent necessary to give effect to the subject provisions according to their terms.",,,
16.1,Other,"During and after your employment, you shall cooperate fully with the Company in (i) the defence or prosecution of any claims or actions now in existence or which may be brought in the future against or on behalf of the Company which relate to events or occurrences that transpired while you were employed by the Company, and (ii) the investigation, whether internal or external, of any matters about which the Company reasonably believes you may have knowledge or information, provided you are not waiving any legal rights he may have.",,,
17.1,Other,"You confirm that you are not subject to any consent decree, court or arbitral order or agreement with any former employer or third party that prohibits you from working for the Company and that you are able to carry out your duties without breaching any legal restrictions imposed by a current or former employer or other third party to whom you have contractual obligations.",,,
18.1,Termination,"You shall not be required to mitigate any payment provided for under the Agreement by seeking other employment or otherwise after the termination of your employment with the Company, and any amounts earned by you, whether from self-employment, as a common-law employee or otherwise, shall not reduce any severance amounts otherwise payable to you hereunder pursuant to Paragraph 10.",,,
19.1,Other,"If the Company is publicly traded at the time of a change in control of the Company (including an Acquisition of the Company as defined in the Plan) and any of the payments or benefits received or to be received by you (including, without limitation, any payment or benefits received in connection with such change in control or the termination of your employment, whether pursuant to the terms of this Agreement or any other plan, arrangement or agreement, or otherwise) (all such payments collectively referred to herein as the ""280G Payments"") constitute ""parachute payments"" within the meaning of Section 280G of the Internal Revenue Code (""Section 280G"") and would, but for this Paragraph 19, be subject to the excise tax (the ""Excise Tax"") imposed under Section 4999 of the Internal Revenue Code (""Section 4999""), then prior to making the 280G Payments, a calculation shall be made comparing (i) the Net Benefit (as defined below) to you of the 280G Payments after payment of the Excise Tax to (ii) the Net Benefit to you if the 280G Payments are limited to the extent necessary to avoid being subject to the Excise Tax.",,,
20.1,Other,"Whenever possible, each provision of this Agreement shall be interpreted in such a manner as to be effective and valid under applicable law, but if any provision of this Agreement is held to be prohibited by or invalid under applicable law, such provision shall fail to be in effect only to the extent of such prohibition or invalidity without invalidating the remainder of this Agreement or any such provision.",,,
21.1,Other,"This Agreement constitutes the entire Agreement between the Parties hereto relating to the subject matter hereof. All prior or contemporaneous agreements or understandings between the Parties relating to the subject matter hereof, whether oral or written, are superseded by this Agreement and hereby null and void.",,,
22.1,Other,"This Agreement may be executed in two or more counterparts, each of which shall be an original but all of which shall constitute one and the same instrument. A facsimile or PDF scanned copy of signature shall be as valid and binding as an original.",,,
23.1,Other,"You acknowledge that you have had the opportunity to consult legal counsel regarding this Agreement, have read and understand this Agreement, are fully aware of its legal effect, and have entered it freely and voluntarily and not on the basis of any representations or promises other than those contained in this Agreement.",,,
